county,n_sequences
Albany,672
Allegany,501
Bronx,107
Broome,30
Cattaraugus,16
Cayuga,486
Chautauqua,4
Chemung,42
Chenango,28
Clinton,28
Columbia,61
Cortland,156
Delaware,29
Dutchess,15
Erie,2416
Essex,9
Franklin,5
Fulton,51
Genesee,294
Greene,82
Hamilton,3
Herkimer,46
Jefferson,72
Kings,111
Lewis,28
Livingston,1237
Madison,229
Monroe,9794
Montgomery,31
Nassau,56
New York,10923
Niagara,114
Oneida,65
Onondaga,5069
Ontario,2764
Orange,19
Orleans,186
Oswego,280
Otsego,12
Putnam,1
Queens,2508
Rensselaer,207
Richmond,11
Rockland,33
Saratoga,723
Schenectady,139
Schoharie,17
Schuyler,6
Seneca,75
St Lawrence,22
Steuben,738
Suffolk,188
Sullivan,5
Tioga,13
Tompkins,14
Ulster,28
Warren,51
Washington,69
Wayne,1345
Westchester,1058
Wyoming,175
Yates,138
