County,2020 Population Estimate,2010 Census Population,2020 Land Area Square Miles,2020 Population Density
New York State,"19,336,776","19,378,102","47,123.59",410.34
New York City,"8,253,213","8,175,133",300.45,"27,469.32"
Bronx,"1,401,142","1,385,108",42.17,"33,224.46"
Kings,"2,538,934","2,504,700",69.38,"36,596.19"
New York,"1,611,989","1,585,873",22.66,"71,150.64"
Queens,"2,225,821","2,230,722",108.72,"20,472.21"
Richmond,"475,327","468,730",57.52,"8,263.25"
Rest of State,"11,083,563","11,202,969","46,823.13",236.71
Albany,"303,654","304,204",522.89,580.72
Allegany,"45,587","48,946","1,029.44",44.28
Broome,"189,420","200,600",705.64,268.44
Cattaraugus,"75,863","80,317","1,308.16",57.99
Cayuga,"76,029","80,026",691.58,109.93
Chautauqua,"126,032","134,905","1,060.41",118.85
Chemung,"82,622","88,830",407.33,202.84
Chenango,"46,730","50,477",893.59,52.29
Clinton,"79,778","82,128","1,037.75",76.88
Columbia,"59,534","63,096",634.66,93.8
Cortland,"47,173","49,336",498.77,94.58
Delaware,"43,938","47,980","1,442.60",30.46
Dutchess,"293,293","297,488",795.65,368.62
Erie,"917,241","919,040","1,042.73",879.65
Essex,"36,891","39,370","1,794.12",20.56
Franklin,"49,965","51,599","1,629.30",30.67
Fulton,"52,812","55,531",495.46,106.59
Genesee,"56,994","60,079",492.94,115.62
Greene,"47,177","49,221",647.16,72.9
Hamilton,"4,345","4,836","1,717.38",2.53
Herkimer,"60,945","64,519","1,411.54",43.18
Jefferson,"108,095","116,229","1,268.70",85.2
Lewis,"26,187","27,087","1,274.64",20.54
Livingston,"62,398","65,393",631.76,98.77
Madison,"70,478","73,442",654.85,107.62
Monroe,"740,900","744,344",656.94,"1,127.80"
Montgomery,"49,170","50,219",403.11,121.98
Nassau,"1,351,334","1,339,532",284.54,"4,749.15"
Niagara,"208,396","216,469",522.35,398.96
Oneida,"227,346","234,878","1,212.33",187.53
Onondaga,"459,214","467,026",778.39,589.95
Ontario,"110,091","107,931",644.08,170.93
Orange,"385,234","372,813",812.32,474.24
Orleans,"39,978","42,883",391.26,102.18
Oswego,"116,346","122,109",951.65,122.26
Otsego,"58,701","62,259","1,001.74",58.6
Putnam,"98,532","99,710",230.2,428.02
Rensselaer,"158,108","159,429",652.46,242.33
Rockland,"326,225","311,687",173.44,"1,880.87"
St Lawrence,"107,185","111,944","2,679.52",40
Saratoga,"230,298","219,607",810,284.32
Schenectady,"155,358","154,727",204.58,759.4
Schoharie,"31,132","32,749",621.82,50.07
Schuyler,"17,685","18,343",328.34,53.86
Seneca,"33,991","35,251",323.7,105.01
Steuben,"94,657","98,990","1,390.51",68.07
Suffolk,"1,474,273","1,493,350",911.17,"1,617.99"
Sullivan,"75,802","77,547",968.15,78.3
Tioga,"47,904","51,125",518.77,92.34
Tompkins,"101,058","101,564",474.64,212.91
Ulster,"177,716","182,493","1,124.24",158.08
Warren,"63,756","65,707",867.22,73.52
Washington,"60,606","63,216",831.17,72.92
Wayne,"89,339","93,772",603.83,147.95
Westchester,"965,802","949,113",430.72,"2,242.28"
Wyoming,"39,465","42,155",592.75,66.58
Yates,"24,780","25,348",338.14,73.28
"Retreived from https://www.health.ny.gov/statistics/vital_statistics/2020/table02.htm, 1/24/2026",,,,
