county,county_names,region,zipcode,wwtp_name,sw_id,epaid,site_id,sample_location,sample_location_specify,method,capacity_mgd,population_served,institution_type,reporting_jurisdiction,wwtp_jurisdiction,wwtp_latitude,wwtp_longitude
Cayuga,36011,Central New York,13021,Auburn,36011NY0021903CCWW3,NY0021903,NY011021903B,upstream,Auburn - South Interceptor,Upstream Unknown,12,7575,not institution specific,ny,ny,42.94,-76.59
Cayuga,36011,Central New York,13021,Auburn,36011NY0021903CCWW4,NY0021903,NY011021903C,upstream,Auburn - Owasco Interceptor,Upstream Unknown,12,17250,not institution specific,ny,ny,42.94,-76.59
Cayuga,36011,Central New York,13021,Auburn,36011NY0021903CCWW2,NY0021903,NY011021903D,upstream,Auburn - North Interceptor,Upstream Unknown,12,7374,not institution specific,ny,ny,42.94,-76.59
Cayuga,36011,Central New York,13021,Auburn,36011NY0021903CCWW1,NY0021903,NY011021903A,wwtp,Auburn - WPCP Influent,Influent,12,31814,not institution specific,ny,ny,42.94,-76.59
Cayuga,36011,Central New York,13166,Weedsport - V WWTP,36011NY0020559CCWWB,NY0020559,NY011020559A,wwtp,Village of Weedsport,Influent,0.55,1810,not institution specific,ny,ny,43.05,-76.57
Cayuga,36011,Central New York,13140,Port Byron - V WWTP,36011NY0020338CCWWC,NY0020338,NY011020338A,wwtp,Village of Port Byron,Influent,0.28,1179,not institution specific,ny,ny,43.04,-76.63
Cayuga,36011,Central New York,13026,Aurora - V STP,36011NY0023558CCWWD,NY0023558,NY011023558A,wwtp,Village of Aurora,Influent,0.3,322,not institution specific,ny,ny,42.74,-76.7
Cayuga,36011,Central New York,13118,Moravia - V STP,36011NY0022756CCWWE,NY0022756,NY011022756A,wwtp,Village of Moravia,Influent,0.6,2209,not institution specific,ny,ny,42.71,-76.43
Cayuga,36011,Central New York,13034,Cayuga and Aurelius Joint WWTP,36011NY0262102CCWWF,NY0262102,NY011262102A,wwtp,Village of Cayuga,Influent,0.13,736,not institution specific,ny,ny,42.95,-76.73
Cayuga,36011,Central New York,13160,Union Springs - V STP,36011NY0024228CCWWG,NY0024228,NY011024228A,wwtp,Union Springs,Influent,0.33,1441,not institution specific,ny,ny,42.84,-76.7
Cortland,36023,Central New York,13045,Cortland,36023NY0027561001,NY0027561,NY023027561A,wwtp,Cortland,Influent,9,26950,not institution specific,ny,ny,42.6,-76.16
Cortland,36023,Central New York,13045,Town of Virgil SD No 1 WWTP,36023NY0027197CCWWB,NY0027197,NY023027197A,wwtp,Town of Virgil SD,Influent,0.08,144,not institution specific,ny,ny,42.51,-76.14
Cortland,36023,Central New York,13803,Marathon - V STP,36023NY0028363CCWWC,NY0028363,NY023028363A,wwtp,Village of Marathon,Influent,0.2,848,not institution specific,ny,ny,42.43,-76.03
Cortland,36023,Central New York,13158,Cuyler - T SD No 1,36023NY0090867CCWWD,NY0090867,NY023090867A,wwtp,Cuyler SD,Influent,0.01,59,not institution specific,ny,ny,42.74,-75.95
Monroe,36055,Finger Lakes,14617,Frank E Van Lare,36055NY0028339001,NY0028339,NY055028339B,upstream,IBPS Sewer Basin,Upstream Manhole,135,223733,not institution specific,ny,ny,43.24,-77.58
Monroe,36055,Finger Lakes,14617,Frank E Van Lare,36055NY0028339002,NY0028339,NY055028339C,upstream,GCO Sewer Basin,Upstream Manhole,135,108703,not institution specific,ny,ny,43.24,-77.58
Monroe,36055,Finger Lakes,14617,Frank E Van Lare,36055NY0028339003,NY0028339,NY055028339D,upstream,Norton and Jewel Sewer Basin,Upstream Manhole,135,77945,not institution specific,ny,ny,43.24,-77.58
Monroe,36055,Finger Lakes,14617,Frank E Van Lare,36055NY0028339004,NY0028339,NY055028339E,upstream,Cliff St Sewer Basin,Upstream Manhole,135,51689,not institution specific,ny,ny,43.24,-77.58
Monroe,36055,Finger Lakes,14617,Frank E Van Lare,36055NY0028339005,NY0028339,NY055028339F,upstream,Glenwood Basin,Upstream Manhole,135,25780,not institution specific,ny,ny,43.24,-77.58
Monroe,36055,Finger Lakes,14468,NW Quadrant Pure Waters District,36055NY0028231006,NY0028231,NY055028231A,wwtp,Northwest Quadrant,Influent,22,155096,not institution specific,ny,ny,43.32,-77.74
Monroe,36055,Finger Lakes,14617,Frank E Van Lare,36055NY0028339000,NY0028339,NY055028339A,wwtp,FEV WWTP - Rochester,Influent,135,487322,not institution specific,ny,ny,43.24,-77.58
Monroe,36055,Finger Lakes,14472,Honeoye Falls - V WWTP,36055NY0025259MCWWC,NY0025259,NY055025259A,wwtp,Honeoye Falls,Influent,0.6,2772,not institution specific,ny,ny,42.96,-77.59
Monroe,36055,Finger Lakes,14580,Webster - T STP,36055NY0021610MCWWD,NY0021610,NY055021610A,wwtp,Town of Webster,Influent,7.5,43074,not institution specific,ny,ny,43.26,-77.41
Onondaga,36067,Central New York,13204,Metropolitan Syracuse WWTP,36067NY0027081603,NY0027081,NY067027081F,upstream,Metro - Ley Creek,Upstream Pump Station,84.2,49079,not institution specific,ny,ny,43.06,-76.18
Onondaga,36067,Central New York,13204,Metropolitan Syracuse WWTP,36067NY0027081600,NY0027081,NY067027081G,upstream,Metro - Liverpool,Upstream Pump Station,84.2,3838,not institution specific,ny,ny,43.06,-76.18
Onondaga,36067,Central New York,13204,Metropolitan Syracuse WWTP,36067NY0027081725,NY0027081,NY067027081H,upstream,Metro - Westside,Upstream Pump Station,84.2,45538,not institution specific,ny,ny,43.06,-76.18
Onondaga,36067,Central New York,13204,Metropolitan Syracuse WWTP,36067NY00270811700,NY0027081,NY067027081I,upstream,Metro - Harbor Brook,Upstream Pump Station,84.2,16260,not institution specific,ny,ny,43.06,-76.18
Onondaga,36067,Central New York,13027,Baldwinsville Seneca Knolls STP,36067NY0030571617,NY0030571,NY067030571A,wwtp,Baldwinsville,Influent,9,30613,not institution specific,ny,ny,43.14,-76.3
Onondaga,36067,Central New York,13029,Brewerton WPCP,36067NY0027596619,NY0027596,NY067027596A,wwtp,Brewerton,Influent,3,16168,not institution specific,ny,ny,43.24,-76.16
Onondaga,36067,Central New York,13041,Oak Orchard STP,36067NY0030317606,NY0030317,NY067030317A,wwtp,Oak Orchard,Influent,10,50727,not institution specific,ny,ny,43.2,-76.21
Onondaga,36067,Central New York,13027,Wetzel Rd WWTP,36067NY0027618601,NY0027618,NY067027618A,wwtp,Wetzel Road,Influent,7,25965,not institution specific,ny,ny,43.15,-76.24
Onondaga,36067,Central New York,13057,Meadowbrook/Limestone WWTP,36067NY0027723605,NY0027723,NY067027723A,wwtp,Meadowbrook/Limestone,Influent,6.5,39352,not institution specific,ny,ny,43.05,-76.01
Onondaga,36067,Central New York,13204,Metropolitan Syracuse WWTP,36067NY0027081999C,NY0027081,NY067027081B,upstream,Metro - Butternut Ave,Upstream Manhole,84.2,19586,not institution specific,ny,ny,43.06,-76.18
Onondaga,36067,Central New York,13204,Metropolitan Syracuse WWTP,36067NY0027081999A,NY0027081,NY067027081C,upstream,Metro - MIS At Midland RTF,Upstream Manhole,84.2,87743,not institution specific,ny,ny,43.06,-76.18
Onondaga,36067,Central New York,13204,Metropolitan Syracuse WWTP,36067NY0027081999D,NY0027081,NY067027081D,upstream,Metro - Burnet Ave,Upstream Manhole,84.2,11521,not institution specific,ny,ny,43.06,-76.18
Onondaga,36067,Central New York,13204,Metropolitan Syracuse WWTP,36067NY0027081999B,NY0027081,NY067027081E,upstream,Metro - Kirkpatrick At PS,Upstream Manhole,84.2,9577,not institution specific,ny,ny,43.06,-76.18
Onondaga,36067,Central New York,13204,Metropolitan Syracuse WWTP,36067NY0027081610,NY0027081,NY067027081J,upstream,Metro - Main Interceptor Outfall,Upstream Unknown,84.2,128021,not institution specific,ny,ny,43.06,-76.18
Onondaga,36067,Central New York,13204,Metropolitan Syracuse WWTP,36067NY0027081604,NY0027081,NY067027081A,wwtp,Metro - Influent,Influent,84.2,242377,not institution specific,ny,ny,43.06,-76.18
Onondaga,36067,Central New York,13108,Marcellus - V STP,36067NY0020532OCWWG,NY0020532,NY067020532A,wwtp,Village of Marcellus,Influent,0.38,2370,not institution specific,ny,ny,43,-76.34
Onondaga,36067,Central New York,13116,Village of Minoa STP,36067NY0025461OCWWH,NY0025461,NY067025461A,wwtp,Village of Minoa,Influent,0.99,3272,not institution specific,ny,ny,43.08,-76
Onondaga,36067,Central New York,13080,Jordan STP,36067NY0105007OCWWI,NY0105007,NY067105007A,wwtp,Village of Jordan,Influent,0.16,1365,not institution specific,ny,ny,43.07,-76.47
Onondaga,36067,Central New York,13152,Skaneateles,36067NY0094480OCWWJ,NY0094480,NY067094480A,wwtp,Village of Skaneateles,Influent,0.85,2756,not institution specific,ny,ny,42.96,-76.44
Onondaga,36067,Central New York,13159,Tully - V STP,36067NY0026824OCWWK,NY0026824,NY067026824A,wwtp,Village of Tully,Influent,0.23,911,not institution specific,ny,ny,42.79,-76.11
Tompkins,36109,Southern Tier,13073,Groton - V STP,36109NY0025585TCWWC,NY0025585,NY109025585A,wwtp,Village of Groton,Influent,0.5,1954,not institution specific,ny,ny,42.6,-76.37
Tompkins,36109,Southern Tier,13068,Freeville - V STP,36109NY0110493TCWWD,NY0110493,NY109110493A,wwtp,Village of Freevillie,Influent,0.12,418,not institution specific,ny,ny,42.51,-76.34
Tompkins,36109,Southern Tier,13053,Dryden - V STP,36109NY0029190TCWWE,NY0029190,NY109029190A,wwtp,Village of Dryden,Influent,0.6,2289,not institution specific,ny,ny,42.49,-76.31
Tompkins,36109,Southern Tier,14867,Newfield - T SD 1,36109NY0110752TCWWF,NY0110752,NY109110752A,wwtp,Town of Newfield SD,Influent,0.03,509,not institution specific,ny,ny,42.37,-76.58
Tompkins,36109,Southern Tier,14886,Trumansburg - V STP,36109NY0024902TCWWG,NY0024902,NY109024902A,wwtp,Village of Trumansburg,Influent,0.25,2276,not institution specific,ny,ny,42.54,-76.65
Tompkins,36109,Southern Tier,14850,Cayuga Heights - V WWTP,36109NY0020958002,NY0020958,NY109020958A,wwtp,Cayuga Heights,Influent,2,9770,not institution specific,ny,ny,42.47,-76.5
Tompkins,36109,Southern Tier,14850,Ithaca Area WWTF,36109NY0026638001,NY0026638,NY109026638A,wwtp,Ithaca Area - City and Town,Influent,13.1,56967,not institution specific,ny,ny,42.45,-76.51
Saratoga,36091,Capital,12118,Saratoga County SD,36091NY0028240007,NY0028240,NY091028240B,upstream,Balston Spa Meter Pit,Upstream Unknown,43.4,8016,not institution specific,ny,ny,42.88,-73.69
Saratoga,36091,Capital,12118,Saratoga County SD,36091NY0028240004,NY0028240,NY091028240C,upstream,Ushers,Upstream Unknown,43.4,39889,not institution specific,ny,ny,42.88,-73.69
Saratoga,36091,Capital,12118,Saratoga County SD,36091NY0028240008,NY0028240,NY091028240D,upstream,Saratoga/Geyser,Upstream Unknown,43.4,44448,not institution specific,ny,ny,42.88,-73.69
Saratoga,36091,Capital,12118,Saratoga County SD,36091NY0028240006,NY0028240,NY091028240E,upstream,Northline/Milton,Upstream Unknown,43.4,5233,not institution specific,ny,ny,42.88,-73.69
Saratoga,36091,Capital,12118,Saratoga County SD,36091NY0028240009,NY0028240,NY091028240F,upstream,Wilton,Upstream Unknown,43.4,14795,not institution specific,ny,ny,42.88,-73.69
Saratoga,36091,Capital,12118,Saratoga County SD,36091NY0028240005,NY0028240,NY091028240G,upstream,Saratoga Lake,Upstream Unknown,43.4,10425,not institution specific,ny,ny,42.88,-73.69
Saratoga,36091,Capital,12118,Saratoga County SD,36091NY0028240003,NY0028240,NY091028240H,upstream,Riverside,Upstream Unknown,43.4,2102,not institution specific,ny,ny,42.88,-73.69
Saratoga,36091,Capital,12118,Saratoga County SD,36091NY0028240002,NY0028240,NY091028240I,upstream,Halfmoon,Upstream Unknown,43.4,15461,not institution specific,ny,ny,42.88,-73.69
Saratoga,36091,Capital,12118,Saratoga County SD,36091NY0028240001,NY0028240,NY091028240A,wwtp,Saratoga Co SD No 1,Influent,43.4,152482,not institution specific,ny,ny,42.88,-73.69
Saratoga,36091,Capital,12309,Riverview Landing STP,36091NY0131768SCWWB,NY0131768,NY091131768A,wwtp,Riverview Landing,Influent,0.02,88,not institution specific,ny,ny,42.83,-73.87
