lineage,clinical_count,clinical_adjusted_pct,clinical_first_detection_date,ww_count_0.01,ww_adjusted_pct_0.01,ww_first_detection_date_0.01,ww_count_0.02,ww_adjusted_pct_0.02,ww_first_detection_date_0.02,ww_count_0.04,ww_adjusted_pct_0.04,ww_first_detection_date_0.04,ww_count_0.08,ww_adjusted_pct_0.08,ww_first_detection_date_0.08,ww_count_0.16,ww_adjusted_pct_0.16,ww_first_detection_date_0.16,ww_count_0.32,ww_adjusted_pct_0.32,ww_first_detection_date_0.32
B.1.1.529,9,0.010921402308056355,2023-01-22,52,0.012059915053612156,2023-01-09,27,0.01017777006952798,2023-02-02,15,0.008304730078413454,2023-02-02,6,0.005588002650492056,2023-02-02,1,0.0013737829605834227,2023-05-16,0,0.0,
B.1.617.2,0,0.0,,30,0.0160680333692612,2023-03-02,27,0.016086892284093813,2023-03-02,18,0.01513453369537053,2023-03-02,12,0.014193450391053831,2023-03-02,4,0.009788917146697735,2023-03-02,1,0.0047549641682059374,2023-09-28
BA.1.1,3,0.003640467436018785,2023-01-02,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
BA.2,40,0.0485395658135838,2023-01-05,744,0.1770702742176491,2023-01-03,429,0.15240199978660476,2023-01-03,207,0.11754916029412095,2023-01-03,72,0.07408301237495546,2023-01-09,19,0.04139276002496485,2023-01-17,4,0.018429034194548242,2023-02-14
BA.2.12.1,3,0.003640467436018785,2023-07-10,16,0.016774100413996143,2023-01-12,13,0.016826914940776674,2023-01-12,10,0.01677257255531603,2023-01-12,10,0.018192058016493384,2023-01-12,5,0.016725623560588234,2023-01-12,4,0.019932264338529307,2023-01-12
BA.2.75,13,0.015775358889414733,2023-01-02,144,0.028525189094227424,2023-01-02,71,0.02263618161314599,2023-01-04,28,0.015192075683665653,2023-01-08,9,0.00924304621860232,2023-02-14,1,0.002967797183374494,2023-04-24,1,0.003910087341019002,2023-04-24
BA.2.75.2,8,0.009707913162716759,2023-01-12,7,0.007108537183045419,2023-01-03,5,0.007072599130649519,2023-01-08,2,0.006762579650167229,2023-01-11,1,0.00680639387102699,2023-01-11,1,0.007959171061343542,2023-01-11,1,0.010486246899317554,2023-01-11
BA.2.86,692,0.8397344885749997,2023-08-20,3137,1.3633723267263764,2023-01-03,2375,1.3197816721954645,2023-01-03,1673,1.2411731689202243,2023-08-22,965,1.060195825127034,2023-08-24,262,0.5762039422661112,2023-08-24,46,0.27710765787468733,2023-10-31
BA.4,4,0.004853956581358379,2023-03-10,45,0.011958545228278591,2023-01-03,24,0.010425055146675896,2023-01-05,17,0.009418981781329031,2023-01-17,5,0.0058859304581420635,2023-02-05,1,0.0032576878245320633,2023-02-05,1,0.004292019682157376,2023-02-05
BA.4.6,7,0.008494424017377164,2023-01-04,19,0.007982023246165941,2023-01-02,11,0.007453794275972682,2023-01-03,5,0.006738387598892931,2023-01-19,2,0.006227469597226487,2023-04-25,2,0.007282196232373346,2023-04-25,1,0.006703111315054279,2023-06-07
BA.5,374,0.4538449403570085,2023-01-01,574,0.29263895706539156,2023-01-02,413,0.2837605142637281,2023-01-02,272,0.26852646866711494,2023-01-02,150,0.24222523738671145,2023-01-03,69,0.2088004394295526,2023-01-03,33,0.1877642528323216,2023-01-03
BA.5.2.6,10,0.01213489145339595,2023-01-03,19,0.005264771055999904,2023-01-03,9,0.0045816030857904365,2023-01-03,7,0.004364589004047324,2023-01-03,2,0.0026992601580127385,2023-01-26,1,0.0023495731333574954,2023-05-15,0,0.0,
BF.11,10,0.01213489145339595,2023-01-02,14,0.008342912490868432,2023-01-04,9,0.00803967790005407,2023-01-11,4,0.0074602501281267886,2023-01-18,3,0.00770791142602448,2023-01-18,2,0.007839587722092181,2023-01-31,1,0.007361861265064572,2023-01-31
BF.7,47,0.05703398983096096,2023-01-01,52,0.019674010739862365,2023-01-03,34,0.018396236898768903,2023-01-03,16,0.015899969469350714,2023-01-03,5,0.013226951662653854,2023-01-03,2,0.012396254670962522,2023-01-03,2,0.016332126311227768,2023-01-03
BN.1,66,0.08009028359241327,2023-01-01,53,0.027849394345961412,2023-01-02,36,0.02687954042316408,2023-01-03,22,0.02537895300167538,2023-01-04,15,0.024944177528199465,2023-01-05,8,0.02226905338761623,2023-01-05,2,0.01684937164954936,2023-01-17
BQ.1,565,0.6856213671168712,2023-01-01,421,0.18671799893678687,2023-01-02,300,0.17895524998029058,2023-01-02,183,0.16424842213748236,2023-01-02,92,0.14213869924994676,2023-01-02,42,0.11881181842821273,2023-01-03,16,0.09692734485091817,2023-01-03
