lineage,clinical_count,clinical_adjusted_pct,clinical_first_detection_date,ww_count_0.01,ww_adjusted_pct_0.01,ww_first_detection_date_0.01,ww_count_0.02,ww_adjusted_pct_0.02,ww_first_detection_date_0.02,ww_count_0.04,ww_adjusted_pct_0.04,ww_first_detection_date_0.04,ww_count_0.08,ww_adjusted_pct_0.08,ww_first_detection_date_0.08,ww_count_0.16,ww_adjusted_pct_0.16,ww_first_detection_date_0.16,ww_count_0.32,ww_adjusted_pct_0.32,ww_first_detection_date_0.32
A.15,0,0.0,,1,8.716581925180292e-05,2024-01-03,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AG.1,0,0.0,,1,8.229280081118687e-05,2023-12-26,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.1,0,0.0,,1,0.0012662627186901033,2023-09-28,1,0.001340153525913943,2023-09-28,1,0.001485567481777746,2023-09-28,1,0.0018085450826180567,2023-09-28,1,0.002568069792700837,2023-09-28,0,0.0,
AY.103,0,0.0,,2,0.0011726668469380288,2023-09-28,2,0.0012410960114754804,2023-09-28,2,0.001375761687568345,2023-09-28,2,0.0016748663829990156,2023-09-28,0,0.0,,0,0.0,
AY.104,0,0.0,,2,0.00042845809278089527,2025-02-26,1,0.00035055573090708795,2025-03-04,1,0.00038859293679151274,2025-03-04,0,0.0,,0,0.0,,0,0.0,
AY.107,0,0.0,,1,9.741989281630159e-05,2023-06-28,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.112,0,0.0,,1,7.712075021667003e-05,2025-03-05,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.116,0,0.0,,1,7.360602935770691e-05,2023-04-25,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.118,0,0.0,,1,0.00011228081043187859,2025-03-04,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.126,0,0.0,,6,0.0017275127278143319,2023-07-05,3,0.0015357020661737508,2023-09-06,2,0.001515817188067932,2023-09-28,1,0.0014251275075632683,2023-09-28,0,0.0,,0,0.0,
AY.127,0,0.0,,1,9.635738135940869e-05,2025-02-26,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.129,0,0.0,,1,0.00010169279333884342,2024-03-07,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.20,0,0.0,,1,0.00010513610155671104,2025-03-05,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.25,0,0.0,,2,0.0011637739195113678,2023-06-28,2,0.0012316841509897947,2023-06-28,2,0.0013653285889641917,2023-06-28,2,0.0016621650217963386,2023-06-28,0,0.0,,0,0.0,
AY.25.1.1,0,0.0,,1,0.0009108755241771473,2023-08-09,1,0.000964028259994492,2023-08-09,1,0.0010686305761766603,2023-08-09,1,0.0013009618192280433,2023-08-09,0,0.0,,0,0.0,
AY.25.3,0,0.0,,1,0.00042763757610871637,2024-05-02,1,0.0004525917070576293,2024-05-02,1,0.0005017003720290689,2024-05-02,0,0.0,,0,0.0,,0,0.0,
AY.3,0,0.0,,1,0.00011745657077398479,2023-04-25,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.3.3,0,0.0,,1,0.00131559580332503,2023-03-02,1,0.0013923653665863906,2023-03-02,1,0.001543444591502061,2023-03-02,1,0.0018790052693628521,2023-03-02,1,0.002668120755713288,2023-03-02,0,0.0,
AY.32,0,0.0,,2,0.00032291630382708884,2025-02-26,1,0.00025728827536487174,2025-03-04,0,0.0,,0,0.0,,0,0.0,,0,0.0,
AY.39,0,0.0,,1,0.00020440709217461862,2024-03-07,1,0.00021633495265738215,2024-03-07,0,0.0,,0,0.0,,0,0.0,,0,0.0,
