lineage,ww_cutoff,first_ww_sample_collect_date,first_clinical_sample_collect_date,first_clinical_date_submitted
XBB.1.5,0.32,2023-01-02,2023-01-01,2023-01-10
XBB.1.5,0.16,2023-01-01,2023-01-01,2023-01-10
XBB.1.5,0.08,2023-01-01,2023-01-01,2023-01-10
XBB.1.5,0.04,2023-01-01,2023-01-01,2023-01-10
XBB.1.5,0.02,2023-01-01,2023-01-01,2023-01-10
XBB.1.5,0.01,2023-01-01,2023-01-01,2023-01-10
FL.1.5.1,0.32,2023-06-01,2023-01-03,2023-06-09
FL.1.5.1,0.16,2023-06-01,2023-01-03,2023-06-09
FL.1.5.1,0.08,2023-05-14,2023-01-03,2023-06-09
FL.1.5.1,0.04,2023-05-14,2023-01-03,2023-06-09
FL.1.5.1,0.02,2023-05-04,2023-01-03,2023-06-09
FL.1.5.1,0.01,2023-05-04,2023-01-03,2023-06-09
EG.5,0.32,2023-04-20,2023-01-03,2023-04-17
EG.5,0.16,2023-01-03,2023-01-03,2023-04-17
EG.5,0.08,2023-01-03,2023-01-03,2023-04-17
EG.5,0.04,2023-01-03,2023-01-03,2023-04-17
EG.5,0.02,2023-01-03,2023-01-03,2023-04-17
EG.5,0.01,2023-01-03,2023-01-03,2023-04-17
HV.1,0.32,2023-08-13,2023-02-17,2023-08-09
HV.1,0.16,2023-08-03,2023-02-17,2023-08-09
HV.1,0.08,2023-08-01,2023-02-17,2023-08-09
HV.1,0.04,2023-06-28,2023-02-17,2023-08-09
HV.1,0.02,2023-01-03,2023-02-17,2023-08-09
HV.1,0.01,2023-01-03,2023-02-17,2023-08-09
JN.1,0.32,2023-10-31,2023-01-01,2023-11-08
JN.1,0.16,2023-01-03,2023-01-01,2023-11-08
JN.1,0.08,2023-01-03,2023-01-01,2023-11-08
JN.1,0.04,2023-01-03,2023-01-01,2023-11-08
JN.1,0.02,2023-01-03,2023-01-01,2023-11-08
JN.1,0.01,2023-01-03,2023-01-01,2023-11-08
LB.1,0.32,2023-12-07,2024-03-24,2024-03-29
LB.1,0.16,2023-11-28,2024-03-24,2024-03-29
LB.1,0.08,2023-10-30,2024-03-24,2024-03-29
LB.1,0.04,2023-10-24,2024-03-24,2024-03-29
LB.1,0.02,2023-10-24,2024-03-24,2024-03-29
LB.1,0.01,2023-10-23,2024-03-24,2024-03-29
KP.3.1.1,0.32,2024-06-12,2024-05-20,2024-06-11
KP.3.1.1,0.16,2024-05-28,2024-05-20,2024-06-11
KP.3.1.1,0.08,2024-04-10,2024-05-20,2024-06-11
KP.3.1.1,0.04,2024-04-10,2024-05-20,2024-06-11
KP.3.1.1,0.02,2024-04-10,2024-05-20,2024-06-11
KP.3.1.1,0.01,2024-02-20,2024-05-20,2024-06-11
XEC,0.32,2024-08-14,2024-08-06,2024-08-16
XEC,0.16,2024-08-14,2024-08-06,2024-08-16
XEC,0.08,2024-08-14,2024-08-06,2024-08-16
XEC,0.04,2024-06-23,2024-08-06,2024-08-16
XEC,0.02,2024-05-23,2024-08-06,2024-08-16
XEC,0.01,2024-04-23,2024-08-06,2024-08-16
LP.8.1,0.32,2024-11-12,2024-10-18,2024-11-01
LP.8.1,0.16,2024-11-10,2024-10-18,2024-11-01
LP.8.1,0.08,2024-10-23,2024-10-18,2024-11-01
LP.8.1,0.04,2024-08-15,2024-10-18,2024-11-01
LP.8.1,0.02,2024-08-15,2024-10-18,2024-11-01
LP.8.1,0.01,2024-06-11,2024-10-18,2024-11-01
XFG,0.32,2025-03-03,2025-02-11,2025-02-28
XFG,0.16,2025-02-27,2025-02-11,2025-02-28
XFG,0.08,2025-02-27,2025-02-11,2025-02-28
XFG,0.04,2025-01-05,2025-02-11,2025-02-28
XFG,0.02,2024-11-17,2025-02-11,2025-02-28
XFG,0.01,2024-09-24,2025-02-11,2025-02-28
