Lineage,Clinical counts,Clinical %,Adjusted WW counts,Adjusted WW %
B.1.1.529,9,0.010943047517144108,1.96705917,0.012060225603621938
B.1.617.2,0,0.0,2.62081219,0.01606844713070959
BA.2,40,0.0486357667428627,28.88143947,0.17707483388288275
BA.2.12.1,3,0.0036476825057147025,2.7359768200000003,0.016774532357092305
BA.2.75,13,0.015806624191430377,4.65266418,0.028525923634869953
BA.2.75.2,8,0.00972715334857254,1.15945371,0.007108720232120137
BA.2.86,692,0.8413987646515247,222.33586463,1.3631621905985407
BA.4,4,0.00486357667428627,1.95052502,0.011958853167954878
BA.4.6,7,0.008511259180000973,1.30192559,0.007982228788028067
BA.5,374,0.45474441904576623,47.73152559,0.292646492693178
BA.5.2.6,10,0.012158941685715675,0.85872215,0.005264906626996522
BF.11,10,0.012158941685715675,1.36078923,0.00834312732584398
BF.7,47,0.05714702592286367,3.20897312,0.019674517357380038
BN.1,66,0.08024901512572345,4.5324371800000005,0.02778880053976415
BQ.1,565,0.6869802052429357,30.45505299,0.18672280703668961
BQ.1.1,1247,1.5162200282087448,114.95120082,0.7047766719170176
CH.1.1,337,0.4097563348086183,22.02777966,0.1350543981076454
EG.5,3982,4.841690579251982,649.00533083,3.9791129962618728
EG.5.1.8,129,0.1568503477457322,34.51099493,0.21159017024447357
EG.6.1,146,0.17752054861144886,19.98355076,0.12252103759900147
FL.1.5.1,2776,3.3753222119546713,299.25508962,1.8347612257384718
HK.3,866,1.0529643499829775,72.990741,0.44751312866482684
HV.1,3716,4.518262730411945,306.30855529,1.878006690117463
JN.1,14298,17.38485482223627,1921.16156935,11.778823077990772
JN.1.7,698,0.8486941296629541,180.97197762,1.109556291603989
KP.2.3,1213,1.4748796264773114,214.87882955,1.317442404040761
KP.3,1930,2.3466757453431253,672.93641833,4.125836754546183
KP.3.1.1,4701,5.715918486454939,1045.15587015,6.40794937803462
LB.1,2175,2.6445698166431595,482.66259006,2.9592499378410113
LP.8.1,2924,3.5552745489032636,746.50755772,4.576908360571597
XBB,1192,1.4493458489373086,326.23443546,2.0001741438809084
XBB.1.16,1288,1.566071689120179,245.51902001,1.5053003063963595
XBB.1.16.6,1110,1.3496425271144399,43.20327675,0.2648833712616354
XBB.1.5,14670,17.837167452944897,1744.37500219,10.694927933321859
XBB.1.9.1,1050,1.2766888770001459,246.61925193,1.5120459322391786
XBB.2.3,1279,1.5551286416030348,193.26249764,1.1849106309587283
XEC,2577,3.1333592724089296,834.71344557,5.117706991981741
XFG,2285,2.778318175186032,1526.66966057,9.360155916753193
