lineage,ww_cutoff,delta_days
HK.3,0.01,211
EG.5,0.01,0
CH.1.1,0.01,-2
JN.1.13.1,0.01,35
FL.1.5.1,0.01,-121
XBB.1.5.68,0.01,14
FD.2,0.01,3
LB.1.3.1,0.01,224
BA.2.75,0.01,0
LP.1,0.01,81
KP.3.1.1,0.01,90
EG.5.1.8,0.01,31
BA.5.2.6,0.01,0
JN.1.4.3,0.01,38
KP.4.1,0.01,36
KP.1.1.3,0.01,20
BA.2.12.1,0.01,179
B.1.1.529,0.01,13
LF.3.1,0.01,212
KP.1.1,0.01,65
XBB.1.5.59,0.01,41
BN.1,0.01,-1
FE.1.1,0.01,-21
KP.2.15,0.01,147
XBB.1.5.70,0.01,-22
HF.1,0.01,-10
XBB.1.5,0.01,0
BQ.1.1,0.01,0
JN.1.8.1,0.01,-24
XBB.1.16.11,0.01,0
LB.1,0.01,153
XEC.4,0.01,71
XBB.1.5.72,0.01,-70
XBB,0.01,0
FD.1.1,0.01,-6
KP.3,0.01,84
NB.1.8.1,0.01,7
XBB.2.3,0.01,-12
XBB.2.3.8,0.01,25
NW.1,0.01,9
XFC,0.01,148
XEK,0.01,87
JN.1.16,0.01,52
XBB.1.42.2,0.01,1
MC.10.1,0.01,52
JN.1.11.1,0.01,-29
LF.7.9,0.01,148
HV.1,0.01,45
KP.2,0.01,4
EU.1.1,0.01,-4
EG.6.1,0.01,119
BA.4,0.01,66
XBB.1.16,0.01,-49
XEC,0.01,105
GE.1,0.01,-13
BA.2,0.01,2
XDV.1,0.01,162
JF.1,0.01,-66
XFG,0.01,140
BA.4.6,0.01,2
XDP,0.01,39
KV.2,0.01,93
XEQ,0.01,114
BA.2.75.2,0.01,9
JN.1.7,0.01,306
XBB.1.5.10,0.01,42
LP.8.1,0.01,129
PA.1,0.01,92
BA.2.86,0.01,229
JN.1.32,0.01,45
MC.28.1,0.01,22
JN.1.18,0.01,304
LF.7.7.1,0.01,52
LF.7.2.1,0.01,-5
XBB.1.9.1,0.01,0
BF.7,0.01,-2
LF.7,0.01,243
KP.2.3,0.01,-3
XBB.1.16.1,0.01,-23
JD.1.1,0.01,196
BF.11,0.01,-2
XBB.1.16.15,0.01,-119
KS.1,0.01,103
GK.1.1,0.01,73
MC.1,0.01,61
JN.1.16.1,0.01,401
XBB.1.9.2,0.01,-32
JG.3,0.01,232
GK.2,0.01,-98
KQ.1,0.01,52
XBB.1.5.1,0.01,-1
KP.1.2,0.01,34
XBB.1.16.6,0.01,-42
XBB.1.16.17,0.01,60
JN.1.13,0.01,11
MC.19,0.01,37
BQ.1,0.01,-1
BA.5,0.01,-1
LF.7.7.2,0.01,70
JN.1,0.01,-2
HK.3,0.02,-6
EG.5,0.02,0
CH.1.1,0.02,-9
JN.1.13.1,0.02,-5
FL.1.5.1,0.02,-121
XBB.1.5.68,0.02,14
FD.2,0.02,3
LB.1.3.1,0.02,218
BA.2.75,0.02,-2
LP.1,0.02,81
KP.3.1.1,0.02,40
EG.5.1.8,0.02,16
